start_date,start_station_code,end_date,end_station_code,duration_sec,is_member
2019-10-01 05:16:53,6275,2019-10-01 05:19:15,6253,142,1
2019-10-01 05:16:55,6155,2019-10-01 05:19:29,6142,154,1
2019-10-01 05:18:37,6106,2019-10-01 05:20:24,6114,106,1
2019-10-01 05:19:42,6009,2019-10-01 05:28:02,6405,499,1
2019-10-01 05:19:45,6722,2019-10-01 05:30:51,6398,665,1
2019-10-01 05:21:35,6142,2019-10-01 05:38:54,6043,1038,1
2019-10-01 05:22:10,7011,2019-10-01 05:36:20,6049,849,1
2019-10-01 05:22:42,6904,2019-10-01 05:32:40,6127,597,1
2019-10-01 05:22:49,6230,2019-10-01 05:49:54,6096,1624,1
2019-10-01 05:23:08,6114,2019-10-01 05:40:42,6355,1053,1
2019-10-01 05:24:25,6076,2019-10-01 05:31:26,6395,421,1
2019-10-01 05:25:28,6115,2019-10-01 05:34:01,6101,513,1
2019-10-01 05:25:37,6744,2019-10-01 05:28:54,6725,196,1
2019-10-01 05:26:40,7071,2019-10-01 05:35:35,6013,534,1
2019-10-01 05:26:52,6919,2019-10-01 05:40:30,6136,818,0
2019-10-01 05:27:20,6312,2019-10-01 05:50:05,6240,1365,1
2019-10-01 05:27:35,6915,2019-10-01 05:30:08,6912,152,1
2019-10-01 05:28:17,6206,2019-10-01 05:33:51,7081,334,0
2019-10-01 05:29:26,6119,2019-10-01 05:48:23,6063,1137,1
2019-10-01 05:30:34,7014,2019-10-01 05:47:04,6208,989,1
2019-10-01 05:31:35,6730,2019-10-01 05:59:17,6501,1662,1
2019-10-01 05:33:51,7036,2019-10-01 05:47:38,6005,827,1
2019-10-01 05:34:19,6729,2019-10-01 05:40:11,6035,352,1
2019-10-01 05:35:11,6744,2019-10-01 05:52:23,7050,1031,1
2019-10-01 05:35:51,6902,2019-10-01 05:41:14,7081,322,1
2019-10-01 05:36:00,6921,2019-10-01 05:44:35,6407,514,1
2019-10-01 05:36:43,7042,2019-10-01 05:46:17,6196,574,1
2019-10-01 05:37:43,6728,2019-10-01 05:43:13,7147,330,1
2019-10-01 05:38:40,6085,2019-10-01 05:42:26,6042,226,1
2019-10-01 05:38:53,7073,2019-10-01 05:45:04,7009,370,1
2019-10-01 05:38:58,6360,2019-10-01 05:45:26,6347,387,1
2019-10-01 05:39:10,6212,2019-10-01 05:47:17,6040,486,1
2019-10-01 05:39:11,6117,2019-10-01 05:46:52,6729,461,1
2019-10-01 05:39:16,6421,2019-10-01 06:06:39,6316,1643,1
2019-10-01 05:40:05,7018,2019-10-01 05:50:24,6114,619,1
2019-10-01 05:40:18,6274,2019-10-01 05:42:31,7024,133,1
2019-10-01 05:40:39,6213,2019-10-01 05:58:55,6752,1095,1
2019-10-01 05:41:40,6389,2019-10-01 05:53:19,6051,699,1
2019-10-01 05:42:15,6042,2019-10-01 05:52:10,6020,594,1
2019-10-01 05:44:07,6180,2019-10-01 06:02:12,6184,1085,1
2019-10-01 05:44:28,6136,2019-10-01 05:50:32,6236,364,1
2019-10-01 05:44:28,6151,2019-10-01 05:58:36,7028,848,1
2019-10-01 05:45:07,6314,2019-10-01 05:52:24,6184,436,1
2019-10-01 05:45:09,6912,2019-10-01 05:51:02,7019,352,1
2019-10-01 05:45:16,6915,2019-10-01 05:47:16,6912,120,1
2019-10-01 05:45:17,6131,2019-10-01 05:49:49,6120,271,0
2019-10-01 05:45:44,6361,2019-10-01 05:55:12,6912,568,1
2019-10-01 05:45:58,6046,2019-10-01 05:51:26,7069,328,1
2019-10-01 05:46:40,7076,2019-10-01 05:49:49,6081,188,1
2019-10-01 05:47:07,6046,2019-10-01 06:07:03,6080,1195,1
2019-10-01 05:47:11,6131,2019-10-01 06:04:35,6073,1044,1
2019-10-01 05:47:18,6148,2019-10-01 05:52:41,6173,323,1
2019-10-01 05:47:36,6405,2019-10-01 05:50:19,7082,162,1
2019-10-01 05:47:45,6138,2019-10-01 05:51:08,6151,202,1
2019-10-01 05:47:54,6347,2019-10-01 06:07:05,7044,1151,1
2019-10-01 05:49:01,7015,2019-10-01 05:57:57,6725,535,1
2019-10-01 05:49:27,6218,2019-10-01 05:54:51,6073,324,1
2019-10-01 05:49:59,6141,2019-10-01 05:58:59,6019,540,1
2019-10-01 05:50:12,6427,2019-10-01 06:42:45,7064,3153,1
2019-10-01 05:50:28,6132,2019-10-01 05:59:25,7066,536,1
2019-10-01 05:51:08,6204,2019-10-01 05:56:01,6064,293,0
2019-10-01 05:51:13,6240,2019-10-01 06:07:47,6312,994,1
2019-10-01 05:51:40,6118,2019-10-01 05:55:32,6114,231,1
2019-10-01 05:51:59,6199,2019-10-01 05:56:50,6168,291,1
2019-10-01 05:52:04,6202,2019-10-01 05:59:26,6063,442,1
2019-10-01 05:52:35,6134,2019-10-01 06:02:10,6147,575,1
2019-10-01 05:53:24,6148,2019-10-01 06:01:09,7027,465,1
2019-10-01 05:53:47,6111,2019-10-01 05:56:12,6110,144,1
2019-10-01 05:53:55,6332,2019-10-01 05:57:50,6334,234,1
2019-10-01 05:54:06,6197,2019-10-01 06:02:37,6156,510,1
2019-10-01 05:54:06,6272,2019-10-01 05:59:34,6923,327,1
2019-10-01 05:54:11,6245,2019-10-01 06:13:05,6001,1133,1
2019-10-01 05:54:48,6151,2019-10-01 06:09:46,6053,898,1
2019-10-01 05:54:55,6230,2019-10-01 06:12:40,6064,1065,1
2019-10-01 05:55:36,6156,2019-10-01 05:58:44,6178,187,1
2019-10-01 05:56:01,6149,2019-10-01 06:03:34,6184,453,1
2019-10-01 05:56:51,6224,2019-10-01 06:05:18,6053,507,1
2019-10-01 05:57:01,6088,2019-10-01 06:04:26,6035,445,1
2019-10-01 05:57:04,6152,2019-10-01 06:15:36,7066,1111,1
2019-10-01 05:58:19,6176,2019-10-01 06:02:50,6154,270,1
2019-10-01 05:58:27,7027,2019-10-01 06:05:04,6386,397,0
2019-10-01 05:58:48,6116,2019-10-01 06:03:56,6729,308,1
2019-10-01 05:59:06,6044,2019-10-01 06:10:06,6057,660,1
2019-10-01 05:59:42,6267,2019-10-01 06:01:46,6272,123,1
2019-10-01 06:00:25,6086,2019-10-01 06:05:04,6084,278,1
2019-10-01 06:00:49,6277,2019-10-01 06:02:07,6266,78,1
2019-10-01 06:00:55,6718,2019-10-01 06:08:19,6080,444,0
2019-10-01 06:01:23,6718,2019-10-01 06:08:19,6080,415,0
2019-10-01 06:01:49,6177,2019-10-01 06:11:12,6003,562,1
2019-10-01 06:01:53,6187,2019-10-01 06:05:00,6177,187,1
2019-10-01 06:01:57,6371,2019-10-01 06:09:28,6386,451,1
2019-10-01 06:01:57,6134,2019-10-01 06:06:58,6151,300,1
2019-10-01 06:02:04,6277,2019-10-01 06:05:35,6925,210,1
2019-10-01 06:02:22,6267,2019-10-01 06:24:21,6267,1318,0
2019-10-01 06:02:31,7071,2019-10-01 06:09:34,6046,423,1
2019-10-01 06:02:35,6248,2019-10-01 06:13:25,6204,649,1
2019-10-01 06:02:36,6373,2019-10-01 06:09:15,6161,398,1
2019-10-01 06:02:41,6131,2019-10-01 06:06:59,6120,258,1
2019-10-01 06:02:50,6153,2019-10-01 06:07:18,6148,267,1
2019-10-01 06:02:54,7068,2019-10-01 06:06:38,6096,223,1
2019-10-01 06:02:55,6220,2019-10-01 06:27:11,7114,1456,0
2019-10-01 06:03:07,6357,2019-10-01 06:17:25,6387,858,1
2019-10-01 06:03:29,6349,2019-10-01 06:10:36,7082,426,1
2019-10-01 06:03:33,6151,2019-10-01 06:13:08,6120,574,1
2019-10-01 06:03:39,6266,2019-10-01 06:31:49,6118,1689,1
2019-10-01 06:03:41,6272,2019-10-01 06:28:11,6001,1470,1
2019-10-01 06:03:48,6158,2019-10-01 06:13:44,6216,595,1
2019-10-01 06:03:52,6119,2019-10-01 06:13:37,6053,585,1
2019-10-01 06:04:09,6102,2019-10-01 06:07:42,6408,212,1
2019-10-01 06:04:34,6306,2019-10-01 06:13:35,6230,541,0
2019-10-01 06:05:00,6248,2019-10-01 06:13:29,6204,508,0
2019-10-01 06:05:07,6193,2019-10-01 06:10:35,6195,328,1
2019-10-01 06:05:22,6744,2019-10-01 06:08:57,6725,214,1
2019-10-01 06:06:13,6100,2019-10-01 06:12:22,6194,368,1
2019-10-01 06:06:20,6202,2019-10-01 06:08:55,7080,154,1
2019-10-01 06:06:32,6902,2019-10-01 06:11:40,6008,308,1
2019-10-01 06:07:02,6415,2019-10-01 06:24:00,6027,1018,1
2019-10-01 06:07:07,6225,2019-10-01 06:33:21,6057,1574,1
2019-10-01 06:07:09,6084,2019-10-01 06:32:38,6396,1528,1
2019-10-01 06:07:30,6104,2019-10-01 06:16:11,6038,521,1
2019-10-01 06:07:36,6929,2019-10-01 06:13:41,6255,364,1
2019-10-01 06:07:48,6101,2019-10-01 06:13:15,7102,326,1
2019-10-01 06:07:49,7070,2019-10-01 06:15:14,6427,444,1
2019-10-01 06:08:14,6065,2019-10-01 06:09:50,6092,96,1
2019-10-01 06:08:21,7002,2019-10-01 06:14:44,6210,383,1
2019-10-01 06:08:24,6433,2019-10-01 06:12:56,6194,271,1
2019-10-01 06:08:29,7039,2019-10-01 06:14:06,6386,336,1
2019-10-01 06:08:59,6349,2019-10-01 06:19:06,7050,606,1
2019-10-01 06:09:32,6201,2019-10-01 06:16:03,6155,390,1
2019-10-01 06:09:36,6177,2019-10-01 06:23:52,6064,855,1
2019-10-01 06:09:43,6100,2019-10-01 06:19:10,6208,567,1
2019-10-01 06:10:22,6246,2019-10-01 06:25:56,6042,934,0
2019-10-01 06:10:42,6168,2019-10-01 06:15:01,7028,258,1
2019-10-01 06:11:25,6114,2019-10-01 06:20:23,6132,538,1
2019-10-01 06:11:39,7003,2019-10-01 06:23:14,7034,694,1
2019-10-01 06:12:03,6258,2019-10-01 06:28:06,6014,963,1
2019-10-01 06:12:13,6424,2019-10-01 06:17:04,6088,291,1
2019-10-01 06:12:50,6272,2019-10-01 06:19:55,6912,425,1
2019-10-01 06:13:17,6204,2019-10-01 06:16:09,7080,171,1
2019-10-01 06:13:39,6384,2019-10-01 06:42:11,6083,1711,1
2019-10-01 06:13:48,6264,2019-10-01 06:27:23,6141,814,1
2019-10-01 06:14:29,7114,2019-10-01 06:20:05,6424,335,1
2019-10-01 06:14:58,7030,2019-10-01 06:22:33,6114,454,1
2019-10-01 06:15:01,6192,2019-10-01 06:31:01,6332,960,1
2019-10-01 06:15:01,6907,2019-10-01 06:30:45,6019,943,0
2019-10-01 06:15:24,6126,2019-10-01 06:32:47,6040,1042,1
2019-10-01 06:16:56,6741,2019-10-01 06:19:28,6408,151,1
2019-10-01 06:16:59,6274,2019-10-01 06:19:54,7024,175,1
2019-10-01 06:17:03,6375,2019-10-01 06:26:32,6742,568,1
2019-10-01 06:17:09,6240,2019-10-01 06:22:58,6717,349,1
2019-10-01 06:17:53,6218,2019-10-01 06:25:42,6032,468,1
2019-10-01 06:17:56,6402,2019-10-01 06:28:45,6727,648,1
2019-10-01 06:18:06,6021,2019-10-01 06:21:06,6008,180,0
2019-10-01 06:18:08,7062,2019-10-01 06:21:39,6084,210,1
2019-10-01 06:18:08,6923,2019-10-01 06:22:03,6253,235,1
2019-10-01 06:18:17,6158,2019-10-01 06:34:46,6031,988,1
2019-10-01 06:18:26,6243,2019-10-01 06:29:36,6208,669,1
2019-10-01 06:18:30,6017,2019-10-01 06:30:57,6393,747,1
